what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.6.0.v20130326-1254,"org.eclipse.help",1394128224371
started,bundle,org.eclipse.jdt.core,3.9.1.v20130905-0837,"org.eclipse.jdt.core",1394128224371
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20130605-1748,"org.eclipse.jdt.core.manipulation",1394128224371
started,bundle,org.eclipse.jdt.ui,3.9.1.v20130820-1427,"org.eclipse.jdt.ui",1394128224376
started,bundle,org.eclipse.jface,3.9.1.v20130725-1141,"org.eclipse.jface",1394128224376
started,bundle,org.eclipse.jsch.core,1.1.400.v20111202-1616,"org.eclipse.jsch.core",1394128224376
started,bundle,org.eclipse.m2e.discovery,1.4.0.20130601-0317,"org.eclipse.m2e.discovery",1394128224376
started,bundle,org.eclipse.m2e.logback.configuration,1.4.0.20130601-0317,"org.eclipse.m2e.logback.configuration",1394128224376
started,bundle,org.eclipse.mylyn.bugzilla.core,3.9.1.v20130917-0100,"org.eclipse.mylyn.bugzilla.core",1394128224376
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.bugzilla.ui",1394128224376
started,bundle,org.eclipse.mylyn.builds.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.builds.ui",1394128224376
started,bundle,org.eclipse.mylyn.commons.core,3.9.1.v20130917-0100,"org.eclipse.mylyn.commons.core",1394128224376
started,bundle,org.eclipse.mylyn.commons.net,3.9.1.v20130917-0100,"org.eclipse.mylyn.commons.net",1394128224376
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.1.1.v20130917-0100,"org.eclipse.mylyn.commons.notifications.core",1394128224376
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.1.1.v20130917-0100,"org.eclipse.mylyn.commons.notifications.feed",1394128224381
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.commons.notifications.ui",1394128224381
started,bundle,org.eclipse.mylyn.commons.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.commons.ui",1394128224381
started,bundle,org.eclipse.mylyn.commons.workbench,3.9.1.v20130917-0100,"org.eclipse.mylyn.commons.workbench",1394128224381
started,bundle,org.eclipse.mylyn.context.core,3.9.1.v20130917-0100,"org.eclipse.mylyn.context.core",1394128224381
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.context.tasks.ui",1394128224381
started,bundle,org.eclipse.mylyn.monitor.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.monitor.ui",1394128224381
